mode_id,target_slot,target_name,mre_mm,reference_mre_mm,delta_mre_mm
Anterior_Covered,53,brachiocephalic_trunk,34.97,19.3,15.67
Anterior_Covered,54,subclavian_artery_right,35.19,19.65,15.54
Anterior_Covered,55,subclavian_artery_left,36.07,20.52,15.55
Anterior_Covered,56,common_carotid_artery_right,33.82,20.91,12.9
Anterior_Covered,57,common_carotid_artery_left,36.59,20.35,16.23
Anterior_Covered,59,brachiocephalic_vein_right,35.79,18.43,17.36
Anterior_Covered,60,atrial_appendage_left,61.43,23.52,37.9
Anterior_Covered,61,superior_vena_cava,43.84,19.31,24.53
Anterior_Covered,62,inferior_vena_cava,75.62,22.53,53.09
Anterior_Covered,63,portal_vein_and_splenic_vein,87.0,28.19,58.8
Anterior_Covered,64,iliac_artery_left,70.56,22.65,47.91
Anterior_Covered,65,iliac_artery_right,69.72,21.15,48.57
Anterior_Covered,66,iliac_vena_left,74.23,21.4,52.83
Anterior_Covered,67,iliac_vena_right,73.29,19.85,53.43
Anterior_Covered,68,humerus_left,45.81,32.43,13.38
Anterior_Covered,69,humerus_right,55.36,31.36,24.0
Anterior_Covered,70,scapula_left,39.82,21.06,18.76
Anterior_Covered,71,scapula_right,37.61,20.06,17.55
Anterior_Covered,72,clavicula_left,46.9,23.77,23.13
Anterior_Covered,73,clavicula_right,44.93,23.88,21.05
Anterior_Covered,74,femur_left,72.37,24.72,47.65
Anterior_Covered,75,femur_right,73.91,23.83,50.07
Anterior_Covered,76,hip_left,69.45,21.03,48.42
Anterior_Covered,77,hip_right,68.88,20.33,48.55
Anterior_Covered,78,spinal_cord,38.83,19.72,19.1
Anterior_Covered,79,gluteus_maximus_left,72.85,23.7,49.15
Anterior_Covered,80,gluteus_maximus_right,72.72,22.52,50.2
Anterior_Covered,81,gluteus_medius_left,74.18,24.32,49.86
Anterior_Covered,82,gluteus_medius_right,71.04,22.66,48.38
Anterior_Covered,83,gluteus_minimus_left,75.69,23.38,52.31
Anterior_Covered,84,gluteus_minimus_right,73.09,21.8,51.29
Anterior_Covered,85,autochthon_left,50.11,18.89,31.22
Anterior_Covered,86,autochthon_right,47.72,19.35,28.37
